Accession,Collection_Date,Host,Country,Subtype,Length,Isolate
XKR81971,2023-12,Homo sapiens,Russia,H3N2,566,segment_4
XTS05153,12/23/2024,Homo sapiens,China,H10N3,561,gxswp04
XOT63484,12/20/2024,Homo sapiens,China,H1N1,566,YZF01
XPP62226,12/27/2024,Homo sapiens,USA,H1N1,566,WA-UW-99648
XXL32051,5/10/2024,Homo sapiens,USA,H1N1,566,WA-UW-99477
XRY72844,1/28/2025,Homo sapiens,USA,H1N1,566,WA-UW-99103
XXL24381,12/22/2023,Homo sapiens,USA,,582,WA-UW-99039
XPP62320,1/1/2025,Homo sapiens,USA,H3N2,566,WA-UW-98848
XRY72729,1/24/2025,Homo sapiens,USA,H1N1,566,WA-UW-97919
XXL32164,6/10/2024,Homo sapiens,USA,H3N2,566,WA-UW-97895
XAX01841,2/7/2024,Homo sapiens,USA,H1N1,566,WA-UW-97538
XTK01818,1/26/2025,Homo sapiens,USA,H1N1,566,WA-UW-97483
XRY72818,1/28/2025,Homo sapiens,USA,H3N2,566,WA-UW-97440
XWX52150,5/27/2024,Homo sapiens,USA,H1N1,566,WA-UW-97398
XTK01880,2/8/2025,Homo sapiens,USA,H1N1,566,WA-UW-96699
XPP61978,12/3/2024,Homo sapiens,USA,H1N1,566,WA-UW-96672
XPP62241,12/28/2024,Homo sapiens,USA,H3N2,566,WA-UW-96672
XWX49298,4/23/2024,Homo sapiens,USA,,582,WA-UW-96474
XPP62502,1/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-95712
XPP62233,12/27/2024,Homo sapiens,USA,H1N1,566,WA-UW-95685
XPP62041,12/18/2024,Homo sapiens,USA,H3N2,566,WA-UW-95360
XPP62154,12/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-94944
XPR45486,12/26/2024,Homo sapiens,USA,H3N2,566,WA-UW-94816
XAX02470,2/6/2024,Homo sapiens,USA,H1N1,566,WA-UW-93902
XPP62591,12/29/2024,Homo sapiens,USA,H3N2,566,WA-UW-93632
XWX52343,5/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-93568
XWX52125,5/12/2024,Homo sapiens,USA,H1N1,547,WA-UW-93488
XPP62087,12/20/2024,Homo sapiens,USA,H1N1,566,WA-UW-92992
XAX01897,2/13/2024,Homo sapiens,USA,H1N1,521,WA-UW-92973
WWZ33313,12/6/2023,Homo sapiens,USA,,582,WA-UW-92915
XWX51965,12/25/2023,Homo sapiens,USA,H1N1,566,WA-UW-92319
XRY72667,1/20/2025,Homo sapiens,USA,H1N1,566,WA-UW-91424
XPP62298,12/31/2024,Homo sapiens,USA,H3N2,566,WA-UW-91216
XRY72660,1/19/2025,Homo sapiens,USA,H3N2,566,WA-UW-90905
XBA98663,1/6/2024,Homo sapiens,USA,H3N2,566,WA-UW-90752
XPP62685,7/4/2024,Homo sapiens,USA,H1N1,563,WA-UW-90592
XAX02455,2/6/2024,Homo sapiens,USA,H1N1,566,WA-UW-90490
XRY72713,1/22/2025,Homo sapiens,USA,H1N1,566,WA-UW-90272
XAX01829,2/6/2024,Homo sapiens,USA,H1N1,566,WA-UW-89948
WWZ33501,12/19/2023,Homo sapiens,USA,H1N1,566,WA-UW-89581
XRY72951,2/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-89283
XRY72874,1/29/2025,Homo sapiens,USA,H3N2,566,WA-UW-89280
XWX51972,12/26/2023,Homo sapiens,USA,H1N1,566,WA-UW-89271
XPP62312,1/1/2025,Homo sapiens,USA,H3N2,566,WA-UW-89120
XRY72701,1/22/2025,Homo sapiens,USA,H3N2,566,WA-UW-88896
XWX52032,1/3/2024,Homo sapiens,USA,H1N1,562,WA-UW-88427
XXL32003,12/22/2023,Homo sapiens,USA,H1N1,567,WA-UW-87393
XRY73007,2/4/2025,Homo sapiens,USA,H3N2,566,WA-UW-86496
XPP62067,12/19/2024,Homo sapiens,USA,H3N2,566,WA-UW-86240
XPP62330,1/1/2025,Homo sapiens,USA,H3N2,566,WA-UW-85888
XBA98723,1/18/2024,Homo sapiens,USA,H3N2,566,WA-UW-85792
XBA98957,1/18/2024,Homo sapiens,USA,H1N1,566,WA-UW-85763
XBA98771,2/12/2024,Homo sapiens,USA,H1N1,566,WA-UW-85291
XPP61976,12/2/2024,Homo sapiens,USA,H1N1,566,WA-UW-84992
XAX01881,2/12/2024,Homo sapiens,USA,H1N1,566,WA-UW-84160
XWX52143,5/27/2024,Homo sapiens,USA,H1N1,566,WA-UW-84068
XRY73000,2/3/2025,Homo sapiens,USA,H3N2,566,WA-UW-84056
XPP62768,11/6/2024,Homo sapiens,USA,H3N2,561,WA-UW-83268
XRY72888,1/30/2025,Homo sapiens,USA,H3N2,566,WA-UW-83104
XBA98944,1/18/2024,Homo sapiens,USA,H1N1,566,WA-UW-83068
XRY72790,1/26/2025,Homo sapiens,USA,H3N2,566,WA-UW-82976
XBA98935,1/24/2024,Homo sapiens,USA,H1N1,566,WA-UW-82956
XBA98922,1/30/2024,Homo sapiens,USA,H1N1,566,WA-UW-82777
XPP62178,12/24/2024,Homo sapiens,USA,H3N2,566,WA-UW-82372
XBA98909,1/24/2024,Homo sapiens,USA,H1N1,566,WA-UW-82134
XAX02445,3/25/2024,Homo sapiens,USA,H3N2,566,WA-UW-81937
XRY72993,2/3/2025,Homo sapiens,USA,H3N2,566,WA-UW-81728
XRY72613,1/15/2025,Homo sapiens,USA,H1N1,566,WA-UW-81568
XAX01971,3/6/2024,Homo sapiens,USA,H3N2,566,WA-UW-81455
XPP62355,1/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-81056
XPP61940,3/22/2024,Homo sapiens,USA,H3N2,566,WA-UW-80494
XWX52342,12/29/2023,Homo sapiens,USA,H1N1,566,WA-UW-80429
XAX02434,3/30/2024,Homo sapiens,USA,H1N1,566,WA-UW-80426
XRY72543,1/3/2025,Homo sapiens,USA,H1N1,566,WA-UW-79904
XBA98655,1/5/2024,Homo sapiens,USA,H3N2,566,WA-UW-79816
XXL32150,5/26/2024,Homo sapiens,USA,H1N1,566,WA-UW-79766
XAX01941,2/25/2024,Homo sapiens,USA,H1N1,566,WA-UW-79640
XWX52059,4/29/2024,Homo sapiens,USA,H3N2,566,WA-UW-79418
XAX02426,3/12/2024,Homo sapiens,USA,H1N1,566,WA-UW-79052
XRY72768,1/25/2025,Homo sapiens,USA,H1N1,566,WA-UW-78976
XPP62490,12/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-78912
XPP62478,12/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-78784
XRY72655,1/18/2025,Homo sapiens,USA,H3N2,566,WA-UW-78400
XRY72973,2/3/2025,Homo sapiens,USA,H1N1,566,WA-UW-78304
XAX02412,3/6/2024,Homo sapiens,USA,H1N1,566,WA-UW-78038
XPR45508,1/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-77632
XTL09982,3/4/2024,Homo sapiens,USA,H1N1,564,WA-UW-77570
XPP61985,12/5/2024,Homo sapiens,USA,H1N1,566,WA-UW-77536
XRY72507,12/31/2024,Homo sapiens,USA,H3N2,566,WA-UW-77408
XAX02124,4/11/2024,Homo sapiens,USA,H1N1,567,WA-UW-77382
XPP62514,11/23/2024,Homo sapiens,USA,H1N1,566,WA-UW-77223
XWX52323,5/9/2024,Homo sapiens,USA,H3N2,566,WA-UW-76797
XAX02400,2/25/2024,Homo sapiens,USA,H1N1,566,WA-UW-76759
XAX02392,2/18/2024,Homo sapiens,USA,H1N1,566,WA-UW-76452
XBA98733,1/24/2024,Homo sapiens,USA,H3N2,566,WA-UW-76184
XAX02071,3/24/2024,Homo sapiens,USA,H3N2,564,WA-UW-76168
XPP62726,10/16/2024,Homo sapiens,USA,H3N2,566,WA-UW-75968
XRY73035,2/11/2025,Homo sapiens,USA,H3N2,566,WA-UW-75728
XBA98902,2/12/2024,Homo sapiens,USA,H1N1,566,WA-UW-75407
XBA98702,1/18/2024,Homo sapiens,USA,H3N2,566,WA-UW-75270
XXL32139,3/11/2024,Homo sapiens,USA,H3N2,566,WA-UW-75217
XAX02379,3/24/2024,Homo sapiens,USA,H1N1,566,WA-UW-75169
XAX02001,3/12/2024,Homo sapiens,USA,H3N2,566,WA-UW-75157
XAX02369,2/12/2024,Homo sapiens,USA,H1N1,566,WA-UW-74981
XRY72679,1/21/2025,Homo sapiens,USA,H1N1,566,WA-UW-74976
